timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,bid_vol_sum,ask_vol_sum
1768353131,94852.51,2.15631,94852.52,2.49949,2.56676,2.52613
1768353131,94852.51,2.15631,94852.52,2.49931,2.56676,2.52577
1768353131,94852.51,2.15631,94852.52,2.49931,2.56676,2.52577
1768353131,94852.51,2.42885,94852.52,2.33209,3.17256,2.35855
1768353132,94852.51,2.55785,94852.52,2.34535,3.30162,2.37205
1768353132,94852.51,2.55785,94852.52,2.34523,3.30162,2.37181
1768353132,94852.51,2.66685,94852.52,2.35926,3.41062,2.38584
1768353132,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584
1768353132,94852.51,2.68749,94852.52,2.35932,3.43126,2.38596
1768353132,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584
1768353132,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584
1768353132,94852.51,2.68737,94852.52,2.35905,3.42415,2.38563
1768353132,94852.51,2.68749,94852.52,2.35965,3.07587,2.38623
1768353132,94852.51,2.69559,94852.52,1.55835,3.08397,1.58487
1768353133,94852.51,2.69559,94852.52,2.35563,3.08397,2.38215
1768353133,94852.51,2.69559,94852.52,2.35775,3.08397,2.38427
1768353133,94852.51,2.69559,94852.52,2.35775,3.08397,2.38427
1768353133,94852.51,2.6894,94852.52,2.35775,3.07778,2.38427
1768353133,94852.51,2.6888,94852.52,1.55643,3.42522,1.58295
1768353133,94852.51,2.6888,94852.52,1.5547,3.41261,1.58122
1768353133,94852.51,2.68874,94852.52,1.42267,4.35363,1.44919
1768353133,94852.51,2.68863,94852.52,1.42297,4.57784,1.44786
1768353133,94852.51,2.68869,94852.52,1.39911,4.57796,1.42406
1768353133,94852.51,2.68863,94852.52,1.377,4.61809,1.40195
1768353134,94852.51,2.68863,94852.52,1.40092,4.61809,1.42587
1768353134,94852.51,2.68863,94852.52,1.61585,4.61809,1.6408
1768353134,94852.51,3.69659,94852.52,0.0725,5.00172,0.09751
1768353134,94864.22,2.45049,94864.23,2.46107,2.54193,2.89257
1768353134,94864.22,2.36008,94864.23,2.56978,2.41436,2.80575
1768353134,94864.22,2.38777,94864.23,2.5696,2.45816,2.71272
1768353134,94864.22,2.36117,94864.23,2.44005,3.3534,2.53538
1768353134,94864.22,4.06897,94864.23,1.53242,4.26301,1.5355
1768353134,94864.22,4.11203,94864.23,2.14911,4.25063,2.15219
1768353134,94864.22,3.80827,94864.23,2.14883,3.94717,2.90191
1768353135,94864.22,3.80827,94864.23,2.14856,3.95216,2.9017
1768353135,94864.22,3.80833,94864.23,2.16935,3.95234,3.16347
1768353135,94864.22,3.80833,94864.23,2.17001,3.95234,3.16431
1768353135,94864.22,3.80824,94864.23,2.16965,3.95225,3.16383
1768353135,94864.22,3.19693,94864.23,2.65497,3.2875,3.64861
1768353135,94864.22,1.95278,94864.23,2.65557,2.03339,3.64921
1768353135,94864.22,1.4278,94864.23,2.65557,1.45846,3.69051
1768353135,94864.22,1.41412,94864.23,2.6937,1.4843,3.82703
1768353135,94864.22,1.4278,94864.23,2.73129,1.45903,3.8818
1768353135,94864.22,1.36039,94864.23,3.46119,1.3915,4.61188
1768353136,94864.22,1.48066,94864.23,3.50022,1.54964,4.65091
1768353136,94864.22,1.48066,94864.23,2.78842,1.51183,3.93911
1768353136,94864.22,1.48066,94864.23,2.78842,1.55111,3.93911
1768353136,94864.22,1.48066,94864.23,2.78842,1.55111,3.93911
1768353136,94864.22,1.48066,94864.23,2.78842,1.55111,3.92117
1768353136,94864.22,1.53899,94864.23,2.77044,1.60944,3.90353
1768353136,94864.22,1.53905,94864.23,2.77044,1.6095,3.90353
1768353136,94864.22,1.53905,94864.23,2.77044,1.57016,3.90353
1768353136,94863.14,0.12678,94863.15,5.57943,0.15272,13.25623
1768353136,94852.51,1.59569,94852.52,4.95258,1.60087,6.29253
1768353137,94852.51,1.68044,94852.52,5.06006,1.68806,5.12305
1768353137,94852.51,2.24836,94852.52,5.06048,2.25528,5.08091
1768353137,94852.51,2.23516,94852.52,5.06057,2.24,5.081
1768353137,94852.51,2.63828,94852.52,3.95734,2.64312,3.97769
1768353137,94852.51,2.6506,94852.52,3.57934,2.65544,3.59969
1768353137,94852.51,2.73205,94852.52,3.03368,2.73742,3.07688
1768353137,94852.51,2.73247,94852.52,3.03389,2.74305,3.07727
1768353137,94852.51,2.73265,94852.52,3.03383,2.74329,3.07721
1768353137,94852.51,2.73265,94852.52,3.03383,2.79597,3.07721
1768353137,94852.51,2.73265,94852.52,3.03377,2.79702,3.07709
1768353138,94852.51,2.73265,94852.52,3.03711,2.79702,3.08037
1768353138,94852.51,2.73265,94852.52,3.03711,2.79702,3.08037
1768353138,94852.51,2.73265,94852.52,3.03711,2.74434,3.08037
1768353138,94852.51,2.73765,94852.52,3.03705,2.74934,3.08025
1768353138,94852.51,2.73765,94852.52,3.03705,2.74934,3.17857
1768353138,94852.51,2.73765,94852.52,3.03705,2.74934,3.17857
1768353138,94852.51,2.73765,94852.52,3.05595,2.74934,3.19747
1768353138,94852.51,2.6309,94852.52,3.05617,2.64259,3.19769
1768353138,94852.51,2.63054,94852.52,3.05584,2.64223,3.19736
1768353138,94852.51,2.63054,94852.52,3.05584,2.64223,3.19736
1768353139,94852.51,2.92316,94852.52,3.05602,2.92682,3.19829
1768353139,94852.51,2.92298,94852.52,3.05614,2.92646,3.20644
1768353139,94852.51,2.91454,94852.52,3.05611,2.91802,3.20653
1768353139,94852.51,2.91454,94852.52,3.05605,2.91802,3.20641
1768353139,94852.51,2.91936,94852.52,3.05629,2.92284,3.20671
1768353139,94852.51,2.9752,94852.52,3.13195,2.97868,3.28231
1768353139,94852.51,2.9752,94852.52,3.05605,2.97868,3.10809
1768353139,94852.51,2.9752,94852.52,3.05617,2.97868,3.14797
1768353139,94852.51,2.9752,94852.52,3.05327,2.97868,3.14546
1768353139,94852.51,2.9752,94852.52,3.05333,2.97868,3.14654
1768353140,94852.51,2.9752,94852.52,3.05339,2.97868,3.25861
1768353140,94852.51,2.97502,94852.52,2.94947,2.9785,2.98449
1768353140,94852.51,2.97502,94852.52,2.94938,2.9785,2.98341
1768353140,94852.51,2.97502,94852.52,2.94937,2.9785,2.97543
1768353140,94852.51,2.97488,94852.52,2.94898,2.97836,2.97486
1768353140,94852.51,2.97488,94852.52,2.94895,2.97836,2.97477
1768353140,94852.51,2.97488,94852.52,2.94907,2.97836,2.97501
1768353140,94852.51,2.97488,94852.52,2.94901,2.97836,2.97489
1768353140,94852.51,2.97488,94852.52,2.94895,2.97836,2.97477
1768353140,94852.51,2.97446,94852.52,2.65711,2.97764,2.68341
1768353141,94852.51,3.0321,94852.52,0.77908,3.03522,0.8052
1768353141,94852.51,3.03222,94852.52,0.77911,3.03529,0.80511
1768353141,94852.51,3.03222,94852.52,0.70742,3.03529,0.73354
1768353141,94852.51,3.03222,94852.52,1.42366,3.03529,1.44972
1768353141,94852.51,3.0371,94852.52,1.41428,3.04017,1.4404
1768353141,94852.51,3.0371,94852.52,1.41371,3.04017,1.43977
1768353141,94852.51,3.0371,94852.52,1.48155,3.04017,1.50773
1768353141,94852.51,3.0371,94852.52,1.48164,3.04017,1.50794
1768353141,94852.51,3.0371,94852.52,1.48152,3.04017,1.5077
1768353141,94852.51,3.0421,94852.52,1.48152,3.04517,1.5077
1768353142,94852.51,3.04216,94852.52,1.48158,3.04523,1.50776
1768353142,94852.51,3.04216,94852.52,1.40959,3.04523,1.43583
1768353142,94852.51,3.04216,94852.52,1.40953,3.04523,1.43571
1768353142,94852.51,3.04216,94852.52,1.40959,3.04523,1.43577
1768353142,94868.05,1.30372,94868.06,3.81618,1.67389,3.83427
1768353142,94868.05,0.63959,94868.06,3.82152,1.0081,3.84946
1768353142,94868.05,0.55282,94868.06,3.84522,0.92133,3.86625
1768353142,94868.05,0.37191,94868.06,3.92925,0.73515,3.93892
1768353142,94868.05,0.37191,94868.06,4.22937,0.73503,4.23904
1768353142,94868.05,0.37679,94868.06,4.22937,0.73979,4.23904
1768353143,94861.4,1.11827,94861.41,4.63727,1.51121,4.75897
1768353143,94861.4,1.20503,94861.41,4.64155,1.59923,4.79753
1768353143,94861.4,1.21022,94861.41,4.64179,1.59933,4.77209
1768353143,94861.4,1.21022,94861.41,4.64179,1.56536,4.75859
1768353143,94861.4,1.22016,94861.41,4.64179,1.61349,4.75865
1768353143,94861.4,1.21987,94861.41,4.64179,1.6132,4.78779
1768353143,94861.4,1.21787,94861.41,4.4469,1.61126,4.56382
1768353143,94861.4,1.21769,94861.41,4.4469,1.61205,4.56382
1768353143,94861.4,1.2179,94861.41,4.44696,1.6125,4.59884
1768353143,94861.4,1.2179,94861.41,4.44723,1.6125,4.59923
1768353144,94861.4,1.21482,94861.41,4.44717,1.60948,4.59935
1768353144,94861.4,1.20108,94861.41,4.44717,1.59521,4.60513
1768353144,94861.4,0.33286,94861.41,4.52283,0.68794,4.63337
1768353144,94861.4,0.45334,94861.41,4.58647,0.80812,4.66449
1768353144,94861.4,0.4669,94861.41,4.58665,0.82162,4.63761
1768353144,94861.4,0.46729,94861.41,4.88668,0.82213,4.97719
1768353144,94861.4,0.48691,94861.41,4.88317,0.84175,4.97368
1768353144,94861.4,0.48691,94861.41,4.89691,0.84175,5.00038
1768353144,94861.4,0.48694,94861.41,4.89727,0.8419,5.0011
1768353144,94861.4,0.48688,94861.41,4.89727,0.84172,5.00116
1768353145,94861.4,0.48697,94861.41,4.88357,0.84193,4.98746
1768353145,94863.05,3.78886,94863.06,1.6235,4.04186,1.69467
1768353145,94863.05,3.80352,94863.06,1.65413,4.07036,1.70839
1768353145,94863.05,4.01737,94863.06,1.6785,4.05752,1.83635
1768353145,94863.05,4.01757,94863.06,1.67862,4.09659,1.83653
1768353145,94863.05,4.01757,94863.06,1.67862,4.09659,1.83653
1768353145,94863.05,4.02945,94863.06,1.67862,4.14125,1.87674
1768353145,94863.05,4.02957,94863.06,1.67844,4.14137,1.87656
1768353145,94863.05,3.9507,94863.06,2.18816,4.20451,2.38628
1768353145,94863.05,4.10852,94863.06,2.67823,4.22032,3.54324
1768353146,94863.05,4.10852,94863.06,2.67823,4.2202,3.54324
1768353146,94863.05,4.10852,94863.06,2.67823,4.2202,3.54554
1768353146,94863.05,4.10852,94863.06,2.67823,4.2202,3.54324
1768353146,94863.05,3.60116,94863.06,2.77371,3.63526,3.94692
1768353146,94863.05,3.58542,94863.06,2.77386,3.64984,3.94719
1768353146,94863.05,3.5991,94863.06,2.77386,3.66352,3.94719
1768353146,94863.05,3.59766,94863.06,2.6961,3.70057,3.86949
1768353146,94863.05,3.59784,94863.06,2.6961,3.67067,3.86949
1768353146,94863.05,3.59784,94863.06,2.69604,3.67067,3.86937
1768353146,94863.05,3.59784,94863.06,2.68602,3.67067,3.85935
1768353147,94863.05,3.60284,94863.06,2.69595,3.63718,3.86928
1768353147,94863.05,3.60319,94863.06,2.69595,3.66773,3.86928
1768353147,94863.05,3.60313,94863.06,2.69595,3.67371,3.86928
1768353147,94863.05,3.60313,94863.06,2.69589,3.6685,3.86916
1768353147,94863.05,3.60319,94863.06,2.69603,3.66856,3.06078
1768353147,94863.05,0.5492,94863.06,2.86667,0.61593,3.26959
1768353147,94860.95,0.0003,94860.96,5.74909,0.00635,13.29028
1768353147,94855.64,0.75276,94855.65,5.33849,0.75916,11.73131
1768353147,94855.64,0.67367,94855.65,5.97758,0.69279,6.13416
1768353147,94855.64,0.0282,94855.65,5.96514,0.38174,6.11072
1768353148,94853.56,0.56739,94853.57,5.39681,0.57014,6.25759
1768353148,94853.56,0.74957,94853.57,5.4372,0.76642,5.51632
1768353148,94853.56,0.74977,94853.57,4.89184,0.7668,5.33954
1768353148,94853.56,0.75013,94853.57,4.55524,0.81121,5.32196
1768353148,94853.56,0.75953,94853.57,4.55533,0.78275,5.32223
1768353148,94853.56,0.75953,94853.57,4.55533,0.76907,5.32223
1768353148,94853.56,0.75941,94853.57,4.20737,0.78233,5.28398
1768353148,94853.56,0.75947,94853.57,4.20737,0.78275,5.2841
1768353148,94853.56,0.75935,94853.57,4.20555,0.78251,5.32015
1768353148,94853.56,0.75924,94853.57,4.20564,0.82201,5.28243
1768353149,94853.56,0.75924,94853.57,4.20224,0.8071,5.00876
1768353149,94853.56,0.7593,94853.57,4.20233,0.78252,4.62463
1768353149,94853.56,0.7593,94853.57,4.20242,0.78258,5.00942
1768353149,94853.56,0.7593,94853.57,4.18883,0.82234,4.99595
