timestamp,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,bid_vol_sum,ask_vol_sum,mid_price,spread,obi,micro_price,future_mid,label
1768353131.136579,94852.51,2.15631,94852.52,2.49949,2.56676,2.52613,94852.515,0.010000000009313226,0.007977788642597763,94852.51463144894,94852.515,0
1768353131.208089,94852.51,2.15631,94852.52,2.49931,2.56676,2.52577,94852.515,0.010000000009313226,0.008049044384618228,94852.51463162802,94852.515,0
1768353131.306576,94852.51,2.15631,94852.52,2.49931,2.56676,2.52577,94852.515,0.010000000009313226,0.008049044384618228,94852.51463162802,94852.515,0
1768353131.460501,94852.51,2.42885,94852.52,2.33209,3.1725600000000003,2.35855,94852.515,0.010000000009313226,0.14716937468247787,94852.5151016186,94852.515,0
1768353131.507773,94852.51,2.55785,94852.52,2.34535,3.30162,2.37205,94852.515,0.010000000009313226,0.16383927863270156,94852.51521669522,94852.515,0
1768353131.609343,94852.51,2.55785,94852.52,2.34523,3.30162,2.37181,94852.515,0.010000000009313226,0.16388851188787035,94852.5152168229,94852.515,0
1768353131.743503,94852.51,2.66685,94852.52,2.35926,3.41062,2.38584,94852.515,0.010000000009313226,0.17679411226852257,94852.51530599211,94852.515,0
1768353131.807227,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584,94852.515,0.010000000009313226,0.17971497825376906,94852.51532518948,94852.515,0
1768353131.906357,94852.51,2.68749,94852.52,2.35932,3.43126,2.38596,94852.515,0.010000000009313226,0.17969064260935638,94852.51532512617,94852.515,0
1768353132.007244,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584,94852.515,0.010000000009313226,0.17971497825376906,94852.51532518948,94852.515,0
1768353132.107661,94852.51,2.68749,94852.52,2.35926,3.43126,2.38584,94852.515,0.010000000009313226,0.17971497825376906,94852.51532518948,94852.515,0
1768353132.21661,94852.51,2.68737,94852.52,2.35905,3.42415,2.38563,94852.515,0.010000000009313226,0.17875375659663534,94852.51532529993,94852.515,0
1768353132.307859,94852.51,2.68749,94852.52,2.35965,3.07587,2.38623,94852.515,0.010000000009313226,0.12625913110342182,94852.515324778,94852.515,0
